Metric,Test,Comparison,MeanDifference,CI95Low,CI95High,RawP,AdjustedP
Mean,Friedman across five policies,"100, 90, 80, 70, 60",,,,5.580169623940864e-24,5.580169623940864e-24
Mean,Paired mean permutation vs 100%,90% minus 100%,9.16113316822938,7.106590452585429,11.553569678336805,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,80% minus 100%,20.566763113073307,15.83209870702717,26.05979485561767,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,70% minus 100%,33.7813138420437,26.17480717015315,42.74961964459567,4.9999750001249995e-06,1.9999900000499998e-05
Mean,Paired mean permutation vs 100%,60% minus 100%,49.1201930766359,38.264018081150944,61.65924940193945,4.9999750001249995e-06,1.9999900000499998e-05
CV,Friedman across five policies,"100, 90, 80, 70, 60",,,,0.010033682775965298,0.010033682775965298
CV,Paired mean permutation vs 100%,90% minus 100%,-0.5675040783498337,-1.2166537873731569,0.19610677738335036,0.1347843260783696,0.5391373043134784
CV,Paired mean permutation vs 100%,80% minus 100%,-0.7501517494675874,-2.0802356598536567,0.7188589632584916,0.3138634306828466,0.5833920830395848
CV,Paired mean permutation vs 100%,70% minus 100%,-1.3099525090212205,-3.1337728744448063,0.6501680789284442,0.1944640276798616,0.5833920830395848
CV,Paired mean permutation vs 100%,60% minus 100%,-1.6752318025611457,-4.041462198729266,0.9432002916388132,0.21432892835535822,0.5833920830395848
GMI,Friedman across five policies,"100, 90, 80, 70, 60",,,,5.580169623940864e-24,5.580169623940864e-24
GMI,Paired mean permutation vs 100%,90% minus 100%,0.21913430538404677,0.17034402299442014,0.276057121766152,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,80% minus 100%,0.4919569736647136,0.3801959107002061,0.6193856874721612,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,70% minus 100%,0.8080490271016854,0.6266518818755189,1.0197129987786842,4.9999750001249995e-06,1.9999900000499998e-05
GMI,Paired mean permutation vs 100%,60% minus 100%,1.1749550183931308,0.915521753306503,1.4698236340747803,4.9999750001249995e-06,1.9999900000499998e-05
TIR,Friedman across five policies,"100, 90, 80, 70, 60",,,,2.741419095875619e-15,2.741419095875619e-15
TIR,Paired mean permutation vs 100%,90% minus 100%,-1.7717911877394652,-3.6520713601532604,-0.3055555555555581,0.030649846750766246,0.030649846750766246
TIR,Paired mean permutation vs 100%,80% minus 100%,-7.820641762452109,-12.566552921455939,-3.6520414272030677,0.0010149949250253748,0.0020299898500507497
TIR,Paired mean permutation vs 100%,70% minus 100%,-16.35153256704981,-23.950784243295022,-9.44531250000001,2.9999850000749997e-05,8.999955000224999e-05
TIR,Paired mean permutation vs 100%,60% minus 100%,-25.678879310344822,-34.812535919540224,-17.386111111111124,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Friedman across five policies,"100, 90, 80, 70, 60",,,,1.1612008554515873e-22,1.1612008554515873e-22
TBR,Paired mean permutation vs 100%,90% minus 100%,-1.6379310344827587,-2.104897030651341,-1.203065134099617,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Paired mean permutation vs 100%,80% minus 100%,-2.8405172413793105,-3.705232279693487,-2.033997844827587,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Paired mean permutation vs 100%,70% minus 100%,-3.6688218390804592,-4.86999521072797,-2.5838122605363987,4.9999750001249995e-06,1.9999900000499998e-05
TBR,Paired mean permutation vs 100%,60% minus 100%,-4.008141762452107,-5.413577586206896,-2.7274904214559386,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,Friedman across five policies,"100, 90, 80, 70, 60",,,,9.312542388274447e-17,9.312542388274447e-17
TBR_<54,Paired mean permutation vs 100%,90% minus 100%,-0.4861111111111111,-0.7605363984674329,-0.2593390804597701,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,Paired mean permutation vs 100%,80% minus 100%,-0.7801724137931034,-1.2808908045977012,-0.39176245210727967,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,Paired mean permutation vs 100%,70% minus 100%,-0.9547413793103448,-1.593390804597701,-0.45689655172413784,4.9999750001249995e-06,1.9999900000499998e-05
TBR_<54,Paired mean permutation vs 100%,60% minus 100%,-1.0196360153256705,-1.7282207854406129,-0.4904154693486595,4.9999750001249995e-06,1.9999900000499998e-05
TAR,Friedman across five policies,"100, 90, 80, 70, 60",,,,2.6165451061261122e-23,2.6165451061261122e-23
TAR,Paired mean permutation vs 100%,90% minus 100%,3.4097222222222228,2.107992097701149,5.2006884578544055,4.9999750001249995e-06,1.9999900000499998e-05
TAR,Paired mean permutation vs 100%,80% minus 100%,10.661159003831417,6.725987787356321,14.973180076628351,4.9999750001249995e-06,1.9999900000499998e-05
TAR,Paired mean permutation vs 100%,70% minus 100%,20.020354406130267,13.675275383141763,27.2515325670498,4.9999750001249995e-06,1.9999900000499998e-05
TAR,Paired mean permutation vs 100%,60% minus 100%,29.68702107279693,21.873299808429117,38.271384099616846,4.9999750001249995e-06,1.9999900000499998e-05
LBGI,Friedman across five policies,"100, 90, 80, 70, 60",,,,5.463692949652662e-23,5.463692949652662e-23
LBGI,Paired mean permutation vs 100%,90% minus 100%,-0.843862605755313,-1.0719986536673058,-0.6281141408335094,4.9999750001249995e-06,1.9999900000499998e-05
LBGI,Paired mean permutation vs 100%,80% minus 100%,-1.5385355686847684,-1.9570927521572463,-1.15787921613509,4.9999750001249995e-06,1.9999900000499998e-05
LBGI,Paired mean permutation vs 100%,70% minus 100%,-2.0989682622932704,-2.6729774318195396,-1.5847437693157487,4.9999750001249995e-06,1.9999900000499998e-05
LBGI,Paired mean permutation vs 100%,60% minus 100%,-2.3774903799764453,-3.077820565254983,-1.7560502443458663,4.9999750001249995e-06,1.9999900000499998e-05
HBGI,Friedman across five policies,"100, 90, 80, 70, 60",,,,1.2249394541996045e-23,1.2249394541996045e-23
HBGI,Paired mean permutation vs 100%,90% minus 100%,0.8322263771649383,0.5124498810515905,1.2308773622918916,4.9999750001249995e-06,1.9999900000499998e-05
HBGI,Paired mean permutation vs 100%,80% minus 100%,2.208255630376675,1.4694941195370141,3.0902071464328538,4.9999750001249995e-06,1.9999900000499998e-05
HBGI,Paired mean permutation vs 100%,70% minus 100%,3.9865933576022177,2.726984960097401,5.4408336708604095,4.9999750001249995e-06,1.9999900000499998e-05
HBGI,Paired mean permutation vs 100%,60% minus 100%,6.529993616249435,4.5435349121354545,8.822197643934112,4.9999750001249995e-06,1.9999900000499998e-05
RescueCorrections,Friedman across five policies,"100, 90, 80, 70, 60",,,,1.1435120674177202e-14,1.1435120674177202e-14
RescueCorrections,Paired mean permutation vs 100%,90% minus 100%,2.2413793103448274,0.7586206896551724,4.17327586206889,0.0025099874500627496,0.0025099874500627496
RescueCorrections,Paired mean permutation vs 100%,80% minus 100%,6.620689655172414,3.1724137931034484,10.482758620689655,0.000284998575007125,0.00056999715001425
RescueCorrections,Paired mean permutation vs 100%,70% minus 100%,11.724137931034482,6.482758620689655,17.862068965517242,4.9999750001249995e-06,1.9999900000499998e-05
RescueCorrections,Paired mean permutation vs 100%,60% minus 100%,20.517241379310345,12.30948275862069,30.20689655172414,4.9999750001249995e-06,1.9999900000499998e-05
